Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Arroz,1 ene- 31 may,150,"11,222",701.38,20,140.28,82.57,94.97,76.82,24.66,0.00,,,,,,,,"115,825.07","133,219.17","107,759.26","34,591.82",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"115,825.07","133,219.17","107,759.26","34,591.82",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arroz,1 feb- 30 jun,150,"11,222",701.38,30,210.41,,88.14,68.23,23.52,15.05,12.82,,,,,,,0.00,"185,457.58","143,564.45","49,489.02","31,667.08","26,974.88",0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"185,457.58","143,564.45","49,489.02","31,667.08","26,974.88",0.00,0.00,0.00,0.00,0.00,0.00
Arroz,1 jul- 30 nov,150,"11,222",701.38,20,140.28,,,,,,,32.25,19.28,0.00,0.00,20.19,,0.00,0.00,0.00,0.00,0.00,0.00,"45,238.69","27,045.02",0.00,0.00,"28,321.52",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"45,238.69","27,045.02",0.00,0.00,"28,321.52",0.00
Arroz,1 ago- 31 dic,150,"11,222",701.38,30,210.41,,,,,,,,10.97,0.00,0.00,39.22,66.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"23,082.25",0.00,0.00,"82,523.78","139,398.28",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"23,082.25",0.00,0.00,"82,523.78","139,398.28"
Habichuela,1 nov - 20 feb,110,"5,605",350.31,40,140.13,90.05,41.08,,,,,,,,,0.00,68.98,"126,182.56","57,563.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"96,658.23",1.00,"126,182.56","57,563.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"96,658.23"
Habichuela,1 dic - 20 mar,110,"5,605",350.31,60,210.19,78.00,96.81,29.62,,,,,,,,,29.90,"163,946.25","203,482.52","62,257.54",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"62,846.06",1.00,"163,946.25","203,482.52","62,257.54",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"62,846.06"
Maiz,1 mar - 15 abr,110,"13,247",827.94,20,165.59,,,31.37,1.71,14.24,0.00,,,,,,,0.00,0.00,"51,944.80","2,831.55","23,579.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"51,944.80","2,831.55","23,579.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maiz,1 abr - 15 may,110,"13,247",827.94,30,248.38,,,,0.00,0.00,36.24,5.98,,,,,,0.00,0.00,0.00,0.00,0.00,"90,013.37","14,853.20",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"90,013.37","14,853.20",0.00,0.00,0.00,0.00,0.00
Maiz,1 sep - 31 ago,110,"13,247",827.94,20,165.59,,,,,,,,,0.00,0.00,41.33,35.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"68,437.31","59,495.59",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"68,437.31","59,495.59"
Maiz,1 oct - 31 ago,110,"13,247",827.94,30,248.38,40.95,,,,,,,,,0.00,23.53,83.41,"101,712.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"58,444.11","207,174.80",1.00,"101,712.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"58,444.11","207,174.80"
Guandul,1 mar - 31 oct,240,"3,425",214.06,40,85.63,,,12.50,0.00,0.00,0.00,37.67,23.71,0.00,0.00,,,0.00,0.00,"10,703.13",0.00,0.00,0.00,"32,254.94","20,301.69",0.00,0.00,0.00,0.00,1.00,0.00,0.00,"10,703.13",0.00,0.00,0.00,"32,254.94","20,301.69",0.00,0.00,0.00,0.00
Guandul,1 abr - 30 nov,240,"3,425",214.06,60,128.44,,,,0.00,0.00,0.00,0.00,17.72,0.00,0.00,28.51,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"22,759.13",0.00,0.00,"36,617.53",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"22,759.13",0.00,0.00,"36,617.53",0.00
Mani,1 mar - 10 jun,100,"3,253",203.31,20,40.66,,,4.11,0.00,9.01,23.71,1.93,,,,,,0.00,0.00,"1,671.23",0.00,"3,663.69","9,641.08",784.79,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"1,671.23",0.00,"3,663.69","9,641.08",784.79,0.00,0.00,0.00,0.00,0.00
Mani,1 abr - 10 jul,100,"3,253",203.31,30,60.99,,,,4.11,0.00,9.01,23.71,1.93,,,,,0.00,0.00,0.00,"2,506.84",0.00,"5,495.54","14,461.62","1,177.18",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"2,506.84",0.00,"5,495.54","14,461.62","1,177.18",0.00,0.00,0.00,0.00
