Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Arroz,1 ene- 31 may,150,11222,701.38,20,140.28,82.57,94.97,76.82,24.66,0,,,,,,,,115825.07,133219.17,107759.26,34591.82,0,0,0,0,0,0,0,0,1,115825.07,133219.17,107759.26,34591.82,0,0,0,0,0,0,0,0
Arroz,1 feb- 30 jun,150,11222,701.38,30,210.41,,88.14,68.23,23.52,15.05,12.82,,,,,,,0,185457.58,143564.45,49489.02,31667.08,26974.88,0,0,0,0,0,0,1,0,185457.58,143564.45,49489.02,31667.08,26974.88,0,0,0,0,0,0
Arroz,1 jul- 30 nov,150,11222,701.38,20,140.28,,,,,,,32.25,19.28,0,0,20.19,,0,0,0,0,0,0,45238.69,27045.02,0,0,28321.52,0,1,0,0,0,0,0,0,45238.69,27045.02,0,0,28321.52,0
Arroz,1 ago- 31 dic,150,11222,701.38,30,210.41,,,,,,,,10.97,0,0,39.22,66.25,0,0,0,0,0,0,0,23082.25,0,0,82523.78,139398.28,1,0,0,0,0,0,0,0,23082.25,0,0,82523.78,139398.28
Habichuela,1 nov - 20 feb,110,5605,350.31,40,140.13,90.05,41.08,,,,,,,,,0,68.98,126182.56,57563.35,0,0,0,0,0,0,0,0,0,96658.23,1,126182.56,57563.35,0,0,0,0,0,0,0,0,0,96658.23
Habichuela,1 dic - 20 mar,110,5605,350.31,60,210.19,78,96.81,29.62,,,,,,,,,29.9,163946.25,203482.52,62257.54,0,0,0,0,0,0,0,0,62846.06,1,163946.25,203482.52,62257.54,0,0,0,0,0,0,0,0,62846.06
Maiz,1 mar - 15 abr,110,13247,827.94,20,165.59,,,31.37,1.71,14.24,0,,,,,,,0,0,51944.8,2831.55,23579.66,0,0,0,0,0,0,0,1,0,0,51944.8,2831.55,23579.66,0,0,0,0,0,0,0
Maiz,1 abr - 15 may,110,13247,827.94,30,248.38,,,,0,0,36.24,5.98,,,,,,0,0,0,0,0,90013.37,14853.2,0,0,0,0,0,1,0,0,0,0,0,90013.37,14853.2,0,0,0,0,0
Maiz,1 sep - 31 ago,110,13247,827.94,20,165.59,,,,,,,,,0,0,41.33,35.93,0,0,0,0,0,0,0,0,0,0,68437.31,59495.59,1,0,0,0,0,0,0,0,0,0,0,68437.31,59495.59
Maiz,1 oct - 31 ago,110,13247,827.94,30,248.38,40.95,,,,,,,,,0,23.53,83.41,101712.12,0,0,0,0,0,0,0,0,0,58444.11,207174.8,1,101712.12,0,0,0,0,0,0,0,0,0,58444.11,207174.8
Guandul,1 mar - 31 oct,240,3425,214.06,40,85.63,,,12.5,0,0,0,37.67,23.71,0,0,,,0,0,10703.13,0,0,0,32254.94,20301.69,0,0,0,0,1,0,0,10703.13,0,0,0,32254.94,20301.69,0,0,0,0
Guandul,1 abr - 30 nov,240,3425,214.06,60,128.44,,,,0,0,0,0,17.72,0,0,28.51,,0,0,0,0,0,0,0,22759.13,0,0,36617.53,0,1,0,0,0,0,0,0,0,22759.13,0,0,36617.53,0
Mani,1 mar - 10 jun,100,3253,203.31,20,40.66,,,4.11,0,9.01,23.71,1.93,,,,,,0,0,1671.23,0,3663.69,9641.08,784.79,0,0,0,0,0,1,0,0,1671.23,0,3663.69,9641.08,784.79,0,0,0,0,0
Mani,1 abr - 10 jul,100,3253,203.31,30,60.99,,,,4.11,0,9.01,23.71,1.93,,,,,0,0,0,2506.84,0,5495.54,14461.62,1177.18,0,0,0,0,1,0,0,0,2506.84,0,5495.54,14461.62,1177.18,0,0,0,0
Mani,1 ago - 10 nov,100,3253,203.31,20,40.66,,,,,,,,0,0,0,31.03,32.73,0,0,0,0,0,0,0,0,0,0,12617.57,13308.84,1,0,0,0,0,0,0,0,0,0,0,12617.57,13308.84
Mani,1 sep - 10 dic,100,3253,203.31,30,60.99,38.19,,,,,,,,0,0,37.67,73.31,23293.51,0,0,0,0,0,0,0,0,0,22976.35,44714.52,1,23293.51,0,0,0,0,0,0,0,0,0,22976.35,44714.52
Platano,1 ene - 31 dic,365,2299,143.69,100,143.69,39.32,40.54,10.6,0,0,10.61,37.72,17.9,0,0,27.62,74.6,56497.93,58250.91,15230.88,0,0,15245.24,54198.93,25720.06,0,0,39686.49,107190.88,1,56497.93,58250.91,15230.88,0,0,15245.24,54198.93,25720.06,0,0,39686.49,107190.88
Yuca,1 ene - 31 jul,210,2303,143.94,40,57.58,25.46,51.08,38.98,0,0,0,0,,,,,,14658.6,29409.31,22442.74,0,0,0,0,0,0,0,0,0,1,14658.6,29409.31,22442.74,0,0,0,0,0,0,0,0,0
Yuca,1 ago - 28 feb,210,2303,143.94,60,86.36,51.91,34.13,,,,,,0,0,0,9.95,54.27,44830.77,29475.52,0,0,0,0,0,0,0,0,8593.07,46868.93,1,44830.77,29475.52,0,0,0,0,0,0,0,0,8593.07,46868.93
Batata,1 ene - 30 abr,120,3934,245.88,20,49.18,46.35,90.46,72.06,0,,,,,,,,,22792.61,44483.71,35435.51,0,0,0,0,0,0,0,0,0,1,22792.61,44483.71,35435.51,0,0,0,0,0,0,0,0,0
Batata,1 feb - 31 may,120,3934,245.88,30,73.76,,48.13,63.28,18.16,0,,,,,,,,0,35501.89,46676.91,13395.27,0,0,0,0,0,0,0,0,1,0,35501.89,46676.91,13395.27,0,0,0,0,0,0,0,0
Batata,1 ago - 30 nov,120,3934,245.88,20,49.18,,,,,,,,0,0,0,19.87,,0,0,0,0,0,0,0,0,0,0,9771.07,0,1,0,0,0,0,0,0,0,0,0,0,9771.07,0
Batata,1 sep - 31 dic,120,3934,245.88,30,73.76,,,,,,,,,0,0,37.67,64.29,0,0,0,0,0,0,0,0,0,0,27786.33,47421.91,1,0,0,0,0,0,0,0,0,0,0,27786.33,47421.91
Ajies,1 mar - 10 jun,100,176,11,40,4.4,,,25.21,9.28,5.64,0,,,,,,,0,0,1109.24,408.32,248.16,0,0,0,0,0,0,0,1,0,0,1109.24,408.32,248.16,0,0,0,0,0,0,0
Ajies,1 abr - 10 jul,100,176,11,60,6.6,,,,0,0,27.7,5.18,,,,,,0,0,0,0,0,1828.2,341.88,0,0,0,0,0,1,0,0,0,0,0,1828.2,341.88,0,0,0,0,0
Sorgo,1 abr - 31 jul,120,90,5.63,20,1.13,,,,0,0,15.35,4.42,,,,,,0,0,0,0,0,172.69,49.73,0,0,0,0,0,1,0,0,0,0,0,172.69,49.73,0,0,0,0,0
Sorgo,1 may - 31 ago,120,90,5.63,30,1.69,,,,,0,0,27.64,0,,,,,0,0,0,0,0,0,466.43,0,0,0,0,0,1,0,0,0,0,0,0,466.43,0,0,0,0,0
Sorgo,1 ago - 30 nov,120,90,5.63,20,1.13,,,,,,,,0,0,0,7.7,,0,0,0,0,0,0,0,0,0,0,86.63,0,1,0,0,0,0,0,0,0,0,0,0,86.63,0
Sorgo,1 sep - 31 dic,120,90,5.63,30,1.69,,,,,,,,,0,0,26.71,52.43,0,0,0,0,0,0,0,0,0,0,450.73,884.76,1,0,0,0,0,0,0,0,0,0,0,450.73,884.76
Guineo,1 ene - 31 dic,365,119,7.44,100,7.44,39.32,40.54,10.6,0,0,10.61,37.72,17.9,0,0,27.62,74.6,2924.43,3015.16,788.38,0,0,789.12,2805.43,1331.31,0,0,2054.24,5548.38,1,2924.43,3015.16,788.38,0,0,789.12,2805.43,1331.31,0,0,2054.24,5548.38
Cana de Azucar,1 ene - 31 dic,365,85,5.31,100,5.31,31.46,51.19,62.71,19.85,41.46,52.82,32.03,0,0,21.1,56.9,9.14,1671.31,2719.47,3331.47,1054.53,2202.56,2806.06,1701.59,0,0,1120.94,3022.81,485.56,1,1671.31,2719.47,3331.47,1054.53,2202.56,2806.06,1701.59,0,0,1120.94,3022.81,485.56
Cebolla,1 sep - 31 ene,150,23,1.44,40,0.58,66.8,,,,,,,,0,0,30.37,71.68,384.1,0,0,0,0,0,0,0,0,0,174.63,412.16,1,384.1,0,0,0,0,0,0,0,0,0,174.63,412.16
Cebolla,1 oct - 28 feb,150,23,1.44,60,0.86,80.76,71.6,,,,,,,,0,28.8,72.67,696.56,617.55,0,0,0,0,0,0,0,0,248.4,626.78,1,696.56,617.55,0,0,0,0,0,0,0,0,248.4,626.78
Berenjena,1 mar - 10 jun,100,488,30.5,40,12.2,,,21.94,0,0,18.36,6.94,,,,,,0,0,2676.68,0,0,2239.92,846.68,0,0,0,0,0,1,0,0,2676.68,0,0,2239.92,846.68,0,0,0,0,0
Berenjena,1 abr - 10 jul,100,488,30.5,60,18.3,,,,0,0,18.8,31.32,4.25,,,,,0,0,0,0,0,3440.4,5731.56,777.75,0,0,0,0,1,0,0,0,0,0,3440.4,5731.56,777.75,0,0,0,0
Remolacha,1 feb - 30 abr,100,64,4,50,2,,40.52,36.59,8.3,0,,,,,,,,0,810.4,731.8,166,0,0,0,0,0,0,0,0,1,0,810.4,731.8,166,0,0,0,0,0,0,0,0
Remolacha,1 mar - 30 may,100,64,4,50,2,,,12.67,0,0,1.73,,,,,,,0,0,253.4,0,0,34.6,0,0,0,0,0,0,1,0,0,253.4,0,0,34.6,0,0,0,0,0,0
Pepino,1 mar - 15 abr,45,88,5.5,40,2.2,,,23,0,0,0,,,,,,,0,0,506,0,0,0,0,0,0,0,0,0,1,0,0,506,0,0,0,0,0,0,0,0,0
Pepino,1 abr - 15 may,45,88,5.5,60,3.3,,,,0,0,14.66,3.98,,,,,,0,0,0,0,0,483.78,131.34,0,0,0,0,0,1,0,0,0,0,0,483.78,131.34,0,0,0,0,0
Auyama,1 abr - 31 ago,150,895,55.94,20,11.19,,,,0,0,14.6,22.26,0,,,,,0,0,0,0,0,1633.38,2490.34,0,0,0,0,0,1,0,0,0,0,0,1633.38,2490.34,0,0,0,0,0
Auyama,1 may - 30 sep,150,895,55.94,30,16.78,,,,,0,0,26.85,12.8,0,,,,0,0,0,0,0,0,4505.77,2148,0,0,0,0,1,0,0,0,0,0,0,4505.77,2148,0,0,0,0
Auyama,1 sep - 31 ene,150,895,55.94,20,11.19,67.99,,,,,,,,0,0,26.14,72.36,7606.38,0,0,0,0,0,0,0,0,0,2924.41,8095.28,1,7606.38,0,0,0,0,0,0,0,0,0,2924.41,8095.28
Auyama,1 oct - 28 feb,150,895,55.94,30,16.78,81.52,72.91,,,,,,,,0,0,68.6,13680.08,12235.21,0,0,0,0,0,0,0,0,0,11511.94,1,13680.08,12235.21,0,0,0,0,0,0,0,0,0,11511.94
Cilantro,1 feb - 15 may,105,690,43.13,40,17.25,57.74,38.76,2.16,0,,,,,,,,,9960.15,6686.1,372.6,0,0,0,0,0,0,0,0,0,1,9960.15,6686.1,372.6,0,0,0,0,0,0,0,0,0
Cilantro,1 mar - 15 jun,105,690,43.13,60,25.88,,,31.37,0,0,3.23,,,,,,,0,0,8116.99,0,0,835.76,0,0,0,0,0,0,1,0,0,8116.99,0,0,835.76,0,0,0,0,0,0
Otras Hortalizas,1 ene - 30 abr,120,616,38.5,30,11.55,55.05,68.45,60.13,7.62,,,,,,,,,6358.28,7905.98,6945.02,880.11,0,0,0,0,0,0,0,0,1,6358.28,7905.98,6945.02,880.11,0,0,0,0,0,0,0,0
Otras Hortalizas,1 may - 31 ago,120,616,38.5,30,11.55,,,,,0,0,29.89,11.51,,,,,0,0,0,0,0,0,3452.3,1329.41,0,0,0,0,1,0,0,0,0,0,0,3452.3,1329.41,0,0,0,0
