Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Arroz,1 ene- 31 may,150,114044,7127.75,20,1425.55,136.44,158.08,160.47,142.51,104.08,,,,,,,,1945020.42,2253509.44,2287580.09,2031551.31,1483712.44,,,,,,,,1,1945020.42,2253509.44,2287580.09,2031551.31,1483712.44,0,0,0,0,0,0,0
Arroz,1 feb- 30 jun,150,114044,7127.75,30,2138.33,,146.83,148.58,142.21,146.54,120.48,,,,,,,,3139702.6,3177123.29,3040911.98,3133501.46,2576253.96,,,,,,,1,0,3139702.6,3177123.29,3040911.98,3133501.46,2576253.96,0,0,0,0,0,0
Arroz,1 jul- 30 nov,150,114044,7127.75,20,1425.55,,,,,,,137.3,125.78,99.86,81.96,76.29,,,,,,,,1957280.15,1793056.79,1423554.23,1168380.78,1087552.1,,1,0,0,0,0,0,0,1957280.15,1793056.79,1423554.23,1168380.78,1087552.1,0
Arroz,1 ago- 31 dic,150,114044,7127.75,30,2138.33,,,,,,,,111.81,87.46,82.07,107.08,114.49,,,,,,,,2390861.18,1870179.05,1754923.33,2289718.41,2448168.29,1,0,0,0,0,0,0,0,2390861.18,1870179.05,1754923.33,2289718.41,2448168.29
Habichuela,1 nov - 20 feb,110,154059,9628.69,40,3851.48,148.87,67.85,,,,,,,,,13.66,118.31,5733690.83,2613225.79,0,0,0,0,0,0,0,0,526111.49,4556680.07,1,5733690.83,2613225.79,0,0,0,0,0,0,0,0,526111.49,4556680.07
Habichuela,1 dic - 20 mar,110,154059,9628.69,60,5777.21,128.91,161.04,60.62,,,,,,,,,51.88,7447404.63,9303623.01,3502146.22,0,0,0,0,0,0,0,0,2997217.85,1,7447404.63,9303623.01,3502146.22,0,0,0,0,0,0,0,0,2997217.85
Maiz,1 mar - 10 jun,110,49299,3081.19,20,616.24,,,82.27,102.07,145.59,58.58,,,,,,,0,0,506978.59,628993.62,897180.18,360991.93,0,0,0,0,0,0,1,0,0,506978.59,628993.62,897180.18,360991.93,0,0,0,0,0,0
Maiz,1 abr - 10 jul,110,49299,3081.19,30,924.36,,,,56.99,102.88,162.3,64.21,,,,,,0,0,0,526790.63,950977.71,1500230.19,593529.15,0,0,0,0,0,1,0,0,0,526790.63,950977.71,1500230.19,593529.15,0,0,0,0,0
Maiz,1 sep - 10 dic,110,49299,3081.19,20,616.24,,,,,,,,,21.35,48.19,108.42,62.81,0,0,0,0,0,0,0,0,131566.71,296964.85,668124.7,387058.77,1,0,0,0,0,0,0,0,0,131566.71,296964.85,668124.7,387058.77
Maiz,1 oct - 10 ene,110,49299,3081.19,30,924.36,67.89,,,,,,,,,12.93,77.24,143.31,627545.46,0,0,0,0,0,0,0,0,119519.26,713972.77,1324694.94,1,627545.46,0,0,0,0,0,0,0,0,119519.26,713972.77,1324694.94
