Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Arroz,1 ene- 31 may,150,"114,044","7,127.75",20,"1,425.55",136.44,158.08,160.47,142.51,104.08,,,,,,,,"1,945,020.42","2,253,509.44","2,287,580.09","2,031,551.31","1,483,712.44",,,,,,,,1.00,"1,945,020.42","2,253,509.44","2,287,580.09","2,031,551.31","1,483,712.44",0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arroz,1 feb- 30 jun,150,"114,044","7,127.75",30,"2,138.33",,146.83,148.58,142.21,146.54,120.48,,,,,,,,"3,139,702.60","3,177,123.29","3,040,911.98","3,133,501.46","2,576,253.96",,,,,,,1.00,0.00,"3,139,702.60","3,177,123.29","3,040,911.98","3,133,501.46","2,576,253.96",0.00,0.00,0.00,0.00,0.00,0.00
Arroz,1 jul- 30 nov,150,"114,044","7,127.75",20,"1,425.55",,,,,,,137.30,125.78,99.86,81.96,76.29,,,,,,,,"1,957,280.15","1,793,056.79","1,423,554.23","1,168,380.78","1,087,552.10",,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,957,280.15","1,793,056.79","1,423,554.23","1,168,380.78","1,087,552.10",0.00
Arroz,1 ago- 31 dic,150,"114,044","7,127.75",30,"2,138.33",,,,,,,,111.81,87.46,82.07,107.08,114.49,,,,,,,,"2,390,861.18","1,870,179.05","1,754,923.33","2,289,718.41","2,448,168.29",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,390,861.18","1,870,179.05","1,754,923.33","2,289,718.41","2,448,168.29"
Habichuela,1 nov - 20 feb,110,"154,059","9,628.69",40,"3,851.48",148.87,67.85,,,,,,,,,13.66,118.31,"5,733,690.83","2,613,225.79",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"526,111.49","4,556,680.07",1.00,"5,733,690.83","2,613,225.79",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"526,111.49","4,556,680.07"
Habichuela,1 dic - 20 mar,110,"154,059","9,628.69",60,"5,777.21",128.91,161.04,60.62,,,,,,,,,51.88,"7,447,404.63","9,303,623.01","3,502,146.22",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,997,217.85",1.00,"7,447,404.63","9,303,623.01","3,502,146.22",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,997,217.85"
Maiz,1 mar - 10 jun,110,"49,299","3,081.19",20,616.24,,,82.27,102.07,145.59,58.58,,,,,,,0.00,0.00,"506,978.59","628,993.62","897,180.18","360,991.93",0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"506,978.59","628,993.62","897,180.18","360,991.93",0.00,0.00,0.00,0.00,0.00,0.00
Maiz,1 abr - 10 jul,110,"49,299","3,081.19",30,924.36,,,,56.99,102.88,162.30,64.21,,,,,,0.00,0.00,0.00,"526,790.63","950,977.71","1,500,230.19","593,529.15",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"526,790.63","950,977.71","1,500,230.19","593,529.15",0.00,0.00,0.00,0.00,0.00
Maiz,1 sep - 10 dic,110,"49,299","3,081.19",20,616.24,,,,,,,,,21.35,48.19,108.42,62.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"131,566.71","296,964.85","668,124.70","387,058.77",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"131,566.71","296,964.85","668,124.70","387,058.77"
Maiz,1 oct - 10 ene,110,"49,299","3,081.19",30,924.36,67.89,,,,,,,,,12.93,77.24,143.31,"627,545.46",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"119,519.26","713,972.77","1,324,694.94",1.00,"627,545.46",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"119,519.26","713,972.77","1,324,694.94"
Sorgo,1 abr - 31 jul,120,320,20.00,20,4.00,,,,0.00,83.83,125.90,87.55,,,,,,0.00,0.00,0.00,0.00,"3,353.20","5,036.00","3,502.00",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,"3,353.20","5,036.00","3,502.00",0.00,0.00,0.00,0.00,0.00
Sorgo,1 may - 31 ago,120,320,20.00,30,6.00,,,,,0.00,98.98,128.77,67.23,,,,,0.00,0.00,0.00,0.00,0.00,"5,938.80","7,726.20","4,033.80",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"5,938.80","7,726.20","4,033.80",0.00,0.00,0.00,0.00
Sorgo,1 ago - 30 nov,120,320,20.00,20,4.00,,,,,,,,0.00,44.90,54.26,52.11,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,796.00","2,170.40","2,084.40",0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,796.00","2,170.40","2,084.40",0.00
Sorgo,1 sep - 31 dic,120,320,20.00,30,6.00,,,,,,,,,0.00,33.47,82.71,90.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,008.20","4,962.60","5,439.60",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,008.20","4,962.60","5,439.60"
Guandul,1 mar - 31 oct,240,"18,721","1,170.06",40,468.03,,,50.77,23.38,19.99,75.17,146.67,132.07,92.47,69.59,,,0.00,0.00,"237,616.29","109,424.25","93,558.20","351,814.39","686,452.27","618,120.62","432,782.72","325,698.60",0.00,0.00,1.00,0.00,0.00,"237,616.29","109,424.25","93,558.20","351,814.39","686,452.27","618,120.62","432,782.72","325,698.60",0.00,0.00
Guandul,1 abr - 30 nov,240,"18,721","1,170.06",60,702.04,,,,22.79,20.32,34.92,79.45,122.21,93.30,73.13,93.15,,0.00,0.00,0.00,"159,994.35","142,654.02","245,151.50","557,768.79","857,960.03","655,000.99","513,400.02","653,947.93",0.00,1.00,0.00,0.00,0.00,"159,994.35","142,654.02","245,151.50","557,768.79","857,960.03","655,000.99","513,400.02","653,947.93",0.00
Mani,1 mar - 10 jun,100,"1,565",97.81,20,19.56,,,36.77,81.89,136.62,141.33,57.37,,,,,,0.00,0.00,"7,193.13","16,019.73","26,726.29","27,647.68","11,223.01",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"7,193.13","16,019.73","26,726.29","27,647.68","11,223.01",0.00,0.00,0.00,0.00,0.00
Mani,1 abr - 10 jul,100,"1,565",97.81,30,29.34,,,,7.57,81.57,153.20,144.42,46.15,,,,,0.00,0.00,0.00,"2,221.32","23,935.70","44,954.63","42,378.24","13,542.14",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"2,221.32","23,935.70","44,954.63","42,378.24","13,542.14",0.00,0.00,0.00,0.00
Mani,1 ago - 10 nov,100,"1,565",97.81,20,19.56,,,,,,,,5.11,42.75,75.12,92.82,57.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,999.64,"8,362.97","14,695.35","18,157.91","11,252.35",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,999.64,"8,362.97","14,695.35","18,157.91","11,252.35"
Mani,1 sep - 10 dic,100,"1,565",97.81,30,29.34,63.77,,,,,,,,0.00,31.53,102.05,129.59,"18,712.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,252.08","29,945.30","38,026.57",1.00,"18,712.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,252.08","29,945.30","38,026.57"
Platano,1 ene - 31 dic,365,583,36.44,100,36.44,64.97,68.03,49.89,22.79,48.31,117.69,146.54,122.51,85.60,67.91,91.58,129.30,"23,673.44","24,788.43","18,178.67","8,304.11","17,602.96","42,883.29","53,395.51","44,639.58","31,190.50","24,744.71","33,369.46","47,113.69",1.00,"23,673.44","24,788.43","18,178.67","8,304.11","17,602.96","42,883.29","53,395.51","44,639.58","31,190.50","24,744.71","33,369.46","47,113.69"
Guineo,1 ene - 31 dic,365,274,17.13,100,17.13,64.97,68.03,49.89,22.79,48.31,117.69,146.54,122.51,85.60,67.91,91.58,129.30,"11,126.11","11,650.14","8,543.66","3,902.79","8,273.09","20,154.41","25,094.98","20,979.84","14,659.00","11,629.59","15,683.08","22,142.63",1.00,"11,126.11","11,650.14","8,543.66","3,902.79","8,273.09","20,154.41","25,094.98","20,979.84","14,659.00","11,629.59","15,683.08","22,142.63"
Cana de Azucar,1 ene - 31 dic,365,30,1.88,100,1.88,51.98,85.68,136.43,151.06,155.03,171.40,173.19,147.65,108.70,77.66,80.21,99.11,974.63,"1,606.50","2,558.06","2,832.38","2,906.81","3,213.75","3,247.31","2,768.44","2,038.13","1,456.13","1,503.94","1,858.31",1.00,974.63,"1,606.50","2,558.06","2,832.38","2,906.81","3,213.75","3,247.31","2,768.44","2,038.13","1,456.13","1,503.94","1,858.31"
Cana Negra,1 ene - 31 jul,365,120,7.50,100,7.50,51.98,85.68,136.43,151.06,155.03,171.40,173.19,147.65,108.70,77.66,80.21,99.11,"3,898.50","6,426.00","10,232.25","11,329.50","11,627.25","12,855.00","12,989.25","11,073.75","8,152.50","5,824.50","6,015.75","7,433.25",1.00,"3,898.50","6,426.00","10,232.25","11,329.50","11,627.25","12,855.00","12,989.25","11,073.75","8,152.50","5,824.50","6,015.75","7,433.25"
