Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Arroz,1 ene- 31 may,150,11222,701.375,20,140.275,82.57,94.97,76.82,24.66,0,,,,,,,,115825.0675,133219.1675,107759.255,34591.815,0,0,0,0,0,0,0,0,1,579125.3375,666095.8375,538796.275,172959.075,0,0,0,0,0,0,0,0
Arroz,1 feb- 30 jun,150,11222,701.375,30,210.4125,,88.14,68.23,23.52,15.05,12.82,,,,,,,0,185457.5775,143564.4488,49489.02,31667.08125,26974.8825,0,0,0,0,0,0,1,0,927287.8875,717822.2438,247445.1,158335.4063,134874.4125,0,0,0,0,0,0
Arroz,1 jul- 30 nov,150,11222,701.375,20,140.275,,,,,,,32.25,19.28,0,0,20.19,,0,0,0,0,0,0,45238.6875,27045.02,0,0,28321.5225,0,1,0,0,0,0,0,0,226193.4375,135225.1,0,0,141607.6125,0
Arroz,1 ago- 31 dic,150,11222,701.375,30,210.4125,,,,,,,,10.97,0,0,39.22,66.25,0,0,0,0,0,0,0,23082.25125,0,0,82523.7825,139398.2813,1,0,0,0,0,0,0,0,115411.2563,0,0,412618.9125,696991.4063
Habichuela,1 nov - 20 feb,110,5605,350.3125,40,140.125,90.05,41.08,,,,,,,,,0,68.98,126182.5625,57563.35,0,0,0,0,0,0,0,0,0,96658.225,1,630912.8125,287816.75,0,0,0,0,0,0,0,0,0,483291.125
Habichuela,1 dic - 20 mar,110,5605,350.3125,60,210.1875,78,96.81,29.62,,,,,,,,,29.9,163946.25,203482.5188,62257.5375,0,0,0,0,0,0,0,0,62846.0625,1,819731.25,1017412.594,311287.6875,0,0,0,0,0,0,0,0,314230.3125
Maiz,1 mar - 15 abr,110,13247,827.9375,20,165.5875,,,31.37,1.71,14.24,0,,,,,,,0,0,51944.79875,2831.54625,23579.66,0,0,0,0,0,0,0,1,0,0,259723.9938,14157.73125,117898.3,0,0,0,0,0,0,0
Maiz,1 abr - 15 may,110,13247,827.9375,30,248.38125,,,,0,0,36.24,5.98,,,,,,0,0,0,0,0,90013.365,14853.19875,0,0,0,0,0,1,0,0,0,0,0,450066.825,74265.99375,0,0,0,0,0
Maiz,1 sep - 31 ago,110,13247,827.9375,20,165.5875,,,,,,,,,0,0,41.33,35.93,0,0,0,0,0,0,0,0,0,0,68437.31375,59495.58875,1,0,0,0,0,0,0,0,0,0,0,342186.5688,297477.9438
Maiz,1 oct - 31 ago,110,13247,827.9375,30,248.38125,40.95,,,,,,,,,0,23.53,83.41,101712.1219,0,0,0,0,0,0,0,0,0,58444.10813,207174.8006,1,508560.6094,0,0,0,0,0,0,0,0,0,292220.5406,1035874.003
Guandul,1 mar - 31 oct,240,3425,214.0625,40,85.625,,,12.5,0,0,0,37.67,23.71,0,0,,,0,0,10703.125,0,0,0,32254.9375,20301.6875,0,0,0,0,1,0,0,53515.625,0,0,0,161274.6875,101508.4375,0,0,0,0
Guandul,1 abr - 30 nov,240,3425,214.0625,60,128.4375,,,,0,0,0,0,17.72,0,0,28.51,,0,0,0,0,0,0,0,22759.125,0,0,36617.53125,0,1,0,0,0,0,0,0,0,113795.625,0,0,183087.6563,0
